name,address,location,adname,type,shopinfo,lng,lat,is_chain
星巴克沿街取餐点(上海天平邻里汇店),乌鲁木齐南路64号,"121.448578,31.205902",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,1,121.448578,31.205902,True
星巴克(上海中山医院店),医学院路111号1层101单元,"121.453573,31.198736",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,0,121.453573,31.198736,True
星巴克(上海天平邻里汇店),乌鲁木齐南路64弄4号(衡山路地铁站4号口步行390米),"121.448429,31.205914",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,0,121.448429,31.205914,True
COFFEE AROMA,瑞金二路272号(打浦桥地铁站1号口步行240米),"121.466685,31.207887",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.466685,31.207887,False
T12 Lab,乌鲁木齐南路288号一楼,"121.449564,31.201851",徐汇区,购物服务;购物相关场所;购物相关场所,1,121.449564,31.201851,False
米仓POP(乌鲁木齐南路店),乌鲁木齐南路288号(肇嘉浜路地铁站2号口步行300米),"121.449554,31.201789",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,1,121.449554,31.201789,False
PARSONS COFFEE,汾阳路16号1楼柏斯琴行下沉式广场,"121.455063,31.213578",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455063,31.213578,False
恬Cafe,乌鲁木齐南路205号-1(肇嘉浜路地铁站2号口步行170米),"121.450184,31.200717",徐汇区,餐饮服务;外国餐厅;美式风味,0,121.450184,31.200717,False
E coffee,瑞金二路街道绍兴路10号,"121.465799,31.210319",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.465799,31.210319,False
Folder Bakery&Coffee,乌鲁木齐南路205号104室,"121.450232,31.200503",徐汇区,餐饮服务;糕饼店;糕饼店,0,121.450232,31.200503,False
777Cafe,永嘉路15弄4号东,"121.464974,31.211365",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.464974,31.211365,False
星巴克(上海打浦桥日月光2店),"徐家汇路610号日月光中心瑞金区1层1F-A08单元,地铁4号口旁","121.467487,31.206413",黄浦区,餐饮服务;咖啡厅;星巴克咖啡,1,121.467487,31.206413,True
瑞幸咖啡(日月光中心B2F店),徐家汇路618号日月光中心负二层B2-RJ-28B室,"121.467345,31.207383",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.467345,31.207383,True
小音咖(徐汇汾阳分店),汾阳路3号2号楼2楼(陕西南路地铁站7号口步行360米),"121.456168,31.214229",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.456168,31.214229,False
特写南站线下体验空间,淮海中路上方花园1285弄24号3楼,"121.452055,31.212837",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452055,31.212837,False
山邻山咖啡,小木桥路303号1楼,"121.458198,31.197200",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.458198,31.1972,False
BLACKSHEEP ESPRESSO(建国中路店),建国中路169-4号(打浦桥地铁站1号口步行280米),"121.467244,31.208608",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.467244,31.208608,False
argang kaffe,宝庆路10号2栋1楼(常熟路地铁站7号口步行190米),"121.449714,31.211197",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.449714,31.211197,False
瑞幸咖啡,永嘉路5号后门旁,"121.465449,31.211523",黄浦区,餐饮服务;休闲餐饮场所;休闲餐饮场所,0,121.465449,31.211523,True
Manner Coffee(日月光店),徐家汇路618号1F-CG02(中庭花园),"121.467928,31.206224",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.467928,31.206224,True
Barista Made Coffee,陕西南路362号(陕西南路地铁站6号口步行170米),"121.460177,31.214320",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.460177,31.21432,False
luckin coffee 瑞幸咖啡(景泰大厦店),斜土路与合宝路交叉口东北20米,"121.465005,31.199539",徐汇区,餐饮服务;休闲餐饮场所;休闲餐饮场所,0,121.465005,31.199539,True
库迪咖啡(打浦桥日月光店),徐家汇路618号日月光中心瑞金区B2层打浦桥日月光茶猫店内,"121.468008,31.206561",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.468008,31.206561,False
baker&spice(上海打浦桥日月光店),徐家汇路618号日月光中心广场1F-XJH02 BAKERSPICE,"121.468123,31.205830",黄浦区,餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;糕饼店;糕饼店,0,121.468123,31.20583,False
麦当劳(打浦桥店),瑞金南路1号海兴广场1层(打浦桥地铁站3号口步行220米),"121.468056,31.204786",黄浦区,餐饮服务;快餐厅;麦当劳,0,121.468056,31.204786,False
luckin coffee 瑞幸咖啡(日月光中心店),徐家汇路618号日月光中心徐家汇区B2层,"121.468132,31.206337",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.468132,31.206337,True
Yoo78 Coffee,斜土路1111弄1-20号福华花苑,"121.466225,31.200575",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.466225,31.200575,False
吉美咖啡吧,斜土路1105号,"121.466313,31.200643",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.466313,31.200643,False
luckin coffee 瑞幸咖啡(轻工大楼店),斜土路1590号轻工大楼,"121.459065,31.196879",徐汇区,餐饮服务;休闲餐饮场所;休闲餐饮场所,0,121.459065,31.196879,True
LAVAZZA拉瓦萨咖啡(上海瑞金大厦店),茂名南路205号1号全栋一层102室,"121.462977,31.213618",黄浦区,餐饮服务;咖啡厅;咖啡厅,1,121.462977,31.213618,True
DünDun&Co.,衡山路199号109室(衡山路地铁站4号口步行60米),"121.447201,31.204744",徐汇区,餐饮服务;糕饼店;糕饼店,0,121.447201,31.204744,False
UshineCoffee酉光咖啡工坊,永嘉路671号(衡山路地铁站1号口步行110米),"121.447314,31.203984",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.447314,31.203984,False
斯坦福贝果Bagels & Schmears,瑞金社区南门旁(打浦桥地铁站1号口步行230米),"121.467710,31.208838",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.46771,31.208838,False
